NUMERO_DE_,PENE,PFEB,PMAR,PABR,PMAY,PJUN,PJUL,PAGO,PSEP,POCT,PNOV,PDIC,PANNUAL
00002020,4.30,7.10,3.10,3.50,0.00,0.30,3.30,13.90,14.40,11.20,1.30,9.50,71.90
00002021,90.60,89.70,97.90,31.90,11.50,1.70,16.80,25.20,19.50,23.00,46.70,62.70,517.20
00002022,45.90,41.70,37.30,11.80,1.30,0.40,2.10,4.60,8.80,10.70,24.20,33.50,222.30
00002023,29.20,24.00,27.70,6.50,1.00,0.40,1.20,2.80,5.70,5.60,13.50,19.50,137.10
00002024,69.30,65.50,56.00,19.60,5.40,4.90,2.80,7.10,7.50,12.70,23.00,33.70,307.50
00002027,9.10,14.80,6.70,1.80,1.20,0.10,0.00,1.10,4.00,10.10,3.60,8.60,61.10
00002029,56.60,62.10,53.60,17.10,2.60,1.20,0.60,4.00,11.50,8.50,29.70,51.90,299.40
00002030,95.90,77.00,77.40,25.60,7.80,3.50,3.20,7.00,6.20,14.80,38.90,49.10,406.40
00002031,35.20,26.30,28.60,10.20,3.20,0.90,13.50,22.80,13.10,10.00,19.80,22.70,206.30
00002032,31.50,34.00,31.20,6.90,0.60,0.40,1.80,2.00,6.00,7.90,15.10,25.80,163.20
00002033,11.40,8.20,8.30,1.80,0.90,0.40,4.90,12.40,9.90,8.90,3.80,13.20,84.10
00002034,12.30,11.20,7.90,1.80,0.80,0.20,3.10,15.40,7.90,10.50,4.30,13.10,88.50
00002035,50.20,44.00,55.70,15.50,2.00,0.40,3.90,14.60,10.30,8.80,28.00,33.60,267.00
00002036,56.60,64.10,64.60,22.80,4.10,0.70,0.50,3.70,9.40,19.40,39.00,38.80,323.70
00002037,7.80,5.30,9.30,1.70,0.50,0.50,4.00,11.90,3.20,4.90,2.50,8.90,60.50
00002038,52.50,55.40,53.20,17.20,4.60,1.00,1.00,4.00,5.00,12.20,23.30,33.50,262.90
00002039,15.90,29.50,19.60,2.50,0.80,0.10,1.10,3.40,8.30,12.50,14.40,17.80,125.90
00002040,12.70,16.00,10.00,2.20,1.50,0.10,2.60,6.00,5.90,10.80,5.60,22.10,95.50
00002041,15.60,24.70,14.90,4.00,1.30,0.50,1.50,4.30,6.40,16.00,9.30,25.90,124.40
00002043,19.30,26.90,16.70,3.90,1.10,0.20,2.80,11.20,15.10,9.30,8.60,17.90,133.00
00002044,16.20,17.10,12.70,5.00,0.50,0.10,4.00,5.30,9.70,11.40,6.10,18.20,106.30
00002045,52.90,54.60,74.70,25.30,5.30,1.90,1.60,3.30,10.70,15.40,35.00,37.10,317.80
00002046,5.40,3.80,0.40,0.30,1.30,0.00,2.50,10.70,3.80,2.80,3.80,7.30,42.10
00002049,77.60,83.90,78.90,21.80,6.50,0.10,41.90,45.70,22.00,17.70,46.40,47.10,489.60
00002051,9.60,24.50,11.20,2.10,0.10,0.00,4.10,5.40,12.40,14.10,10.40,21.70,115.60
00002055,43.90,40.50,46.50,12.80,2.20,0.90,4.60,3.80,8.80,6.90,29.00,42.20,242.10
00002056,50.20,51.40,53.50,11.00,1.80,0.60,0.40,2.30,5.90,7.70,22.30,38.80,245.90
00002057,43.90,42.90,34.90,11.00,4.40,1.60,33.30,38.00,36.10,12.00,19.80,40.10,318.00
00002058,29.30,31.80,25.30,4.60,1.40,0.40,1.70,3.20,8.20,13.90,12.30,29.20,161.30
00002059,12.40,13.80,15.10,2.90,0.40,0.10,21.90,44.20,22.00,12.90,9.50,11.60,166.80
00002060,61.00,60.40,65.10,17.00,2.50,0.70,12.90,18.30,15.70,15.30,24.30,36.70,329.90
00002061,9.50,8.70,10.70,2.20,1.40,0.00,12.20,19.20,23.90,15.80,10.20,15.00,128.80
00002063,45.40,42.20,37.90,7.60,0.60,0.30,0.30,2.10,8.90,8.50,18.30,26.50,198.60
00002064,52.30,61.50,70.60,9.70,1.40,0.20,2.60,4.50,6.90,7.70,16.00,27.80,261.20
00002065,68.60,72.30,65.20,18.20,2.50,0.60,0.60,3.50,6.60,9.00,25.60,38.90,311.60
00002066,65.00,70.70,84.90,20.20,3.90,0.40,42.80,51.00,24.60,23.60,42.90,34.30,464.30
00002067,68.00,74.00,74.90,22.40,3.50,0.00,15.20,25.90,19.30,16.60,56.90,45.00,421.70
00002068,43.10,42.70,61.50,19.50,3.20,0.70,0.50,0.40,5.40,9.40,32.30,36.20,254.90
00002069,55.10,50.10,51.10,14.10,2.50,1.50,2.80,8.50,6.80,12.10,21.50,32.10,258.20
00002070,54.90,55.30,57.80,24.10,5.70,0.60,1.80,4.40,8.10,19.00,40.30,42.50,314.50
00002071,47.50,34.90,40.70,9.00,3.40,1.20,16.90,22.80,17.00,9.40,21.50,35.40,259.70
00002072,59.90,56.70,67.90,20.00,3.50,0.80,0.50,2.60,6.80,15.30,30.20,38.70,302.90
00002084,33.10,36.30,24.80,3.50,1.70,0.00,0.40,8.70,13.80,8.60,11.80,29.60,172.30
00002085,24.10,29.10,24.10,3.30,0.10,0.00,10.00,7.10,8.80,10.20,5.70,28.90,151.40
00002086,44.60,38.80,49.00,13.90,2.30,0.70,12.60,11.80,12.30,13.70,25.00,31.30,256.00
00002088,41.40,50.10,52.00,13.50,0.90,0.20,24.60,36.20,24.10,11.20,20.80,40.90,315.90
